miss_id,miss_char,miss_count,created_at,updated_at,user_id
73,t,405,2025-04-02 01:34:06.455574+00,2025-06-30 09:17:29.234603+00,9f27d136-09de-407f-b405-7120b2d55daa
34,e,23,2025-04-02 01:34:02.720536+00,2025-04-08 07:50:04.088792+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
61,i,486,2025-04-02 01:34:06.439447+00,2025-06-30 09:17:29.23588+00,9f27d136-09de-407f-b405-7120b2d55daa
33,m,8,2025-04-02 01:34:02.719216+00,2025-04-09 08:02:57.284343+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
98,o,689,2025-04-02 01:34:13.38111+00,2025-06-30 09:38:28.193631+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
25,z,198,2025-04-02 01:34:00.559129+00,2025-06-30 08:08:30.166801+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
97,z,25,2025-04-02 01:34:09.291868+00,2025-06-26 02:57:02.167525+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
69,e,506,2025-04-02 01:34:06.450217+00,2025-06-30 09:17:29.23716+00,9f27d136-09de-407f-b405-7120b2d55daa
22,u,1032,2025-04-02 01:34:00.555103+00,2025-06-30 08:08:30.173214+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
392,g,43,2025-04-04 08:01:18.486862+00,2025-06-27 01:42:07.204883+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
23,x,1142,2025-04-02 01:34:00.556436+00,2025-06-30 08:08:30.174488+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
96,w,26,2025-04-02 01:34:09.290525+00,2025-06-27 01:42:07.270044+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
30,i,67,2025-04-02 01:34:02.715196+00,2025-04-09 08:02:57.286169+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
89,t,88,2025-04-02 01:34:09.279447+00,2025-06-26 08:53:51.285121+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
19,g,323,2025-04-02 01:34:00.55108+00,2025-06-30 07:31:57.391852+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
24,s,1235,2025-04-02 01:34:00.557778+00,2025-06-30 08:08:30.175778+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
401,p,28,2025-04-07 01:13:58.947582+00,2025-06-23 04:45:40.841817+00,9f27d136-09de-407f-b405-7120b2d55daa
9,a,7,2025-03-27 02:20:21.83313+00,2025-04-03 10:23:33.747883+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
32,a,55,2025-04-02 01:34:02.717875+00,2025-04-09 08:02:57.28885+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
